timestamp_utc,symbol,timeframe,event_loop_lag_ms,on_aggtrade_duration_ms,on_kline_closed_duration_ms,process_closed_record_duration_ms,raw_trade_retained_event_count,raw_oldest_retained_age_ms,raw_retention_blocking_timeframe,kline_queue_size,cpu_percent,memory_mb,latest_kline_closed_time_utc,latest_closed_record_processed_time_utc,latest_kline_closed_age_ms,latest_closed_record_processed_age_ms,stale_threshold_seconds,stale_m1,stale_m5,stale_m15,stale_m30
2026-06-05T06:43:20.009Z,BTCUSD,H1,13.495,,,,0,,,0,,,,,,,,,,,
2026-06-05T06:43:20.009Z,BTCUSD,M1,13.495,,,,0,,,0,,,,,,,90,,,,
2026-06-05T06:43:20.009Z,BTCUSD,M15,13.495,,,,0,,,0,,,,,,,990,,,,
2026-06-05T06:43:20.009Z,BTCUSD,M30,13.495,,,,0,,,0,,,,,,,1920,,,,
2026-06-05T06:43:20.009Z,BTCUSD,M5,13.495,,,,0,,,0,,,,,,,360,,,,
2026-06-05T06:43:25.019Z,BTCUSD,H1,13.495,,,,131,25019,H1,0,,,,,,,,,,,
2026-06-05T06:43:25.019Z,BTCUSD,M1,13.495,,,,131,25019,H1,0,,,,,,,90,,,,
2026-06-05T06:43:25.019Z,BTCUSD,M15,13.495,,,,131,25019,H1,0,,,,,,,990,,,,
2026-06-05T06:43:25.019Z,BTCUSD,M30,13.495,,,,131,25019,H1,0,,,,,,,1920,,,,
2026-06-05T06:43:25.019Z,BTCUSD,M5,13.495,,,,131,25019,H1,0,,,,,,,360,,,,
2026-06-05T06:43:30.030Z,BTCUSD,H1,13.263,,,,327,30030,H1,0,,,,,,,,,,,
2026-06-05T06:43:30.030Z,BTCUSD,M1,13.263,,,,327,30030,H1,0,,,,,,,90,,,,
2026-06-05T06:43:30.030Z,BTCUSD,M15,13.263,,,,327,30030,H1,0,,,,,,,990,,,,
2026-06-05T06:43:30.030Z,BTCUSD,M30,13.263,,,,327,30030,H1,0,,,,,,,1920,,,,
2026-06-05T06:43:30.030Z,BTCUSD,M5,13.263,,,,327,30030,H1,0,,,,,,,360,,,,
2026-06-05T06:43:35.039Z,BTCUSD,H1,15.545,,,,704,35039,H1,0,,,,,,,,,,,
2026-06-05T06:43:35.039Z,BTCUSD,M1,15.545,,,,704,35039,H1,0,,,,,,,90,,,,
2026-06-05T06:43:35.039Z,BTCUSD,M15,15.545,,,,704,35039,H1,0,,,,,,,990,,,,
2026-06-05T06:43:35.039Z,BTCUSD,M30,15.545,,,,704,35039,H1,0,,,,,,,1920,,,,
2026-06-05T06:43:35.039Z,BTCUSD,M5,15.545,,,,704,35039,H1,0,,,,,,,360,,,,
2026-06-05T06:43:40.042Z,BTCUSD,H1,8.644,,,,769,40042,H1,0,,,,,,,,,,,
2026-06-05T06:43:40.042Z,BTCUSD,M1,8.644,,,,769,40042,H1,0,,,,,,,90,,,,
2026-06-05T06:43:40.042Z,BTCUSD,M15,8.644,,,,769,40042,H1,0,,,,,,,990,,,,
2026-06-05T06:43:40.042Z,BTCUSD,M30,8.644,,,,769,40042,H1,0,,,,,,,1920,,,,
2026-06-05T06:43:40.042Z,BTCUSD,M5,8.644,,,,769,40042,H1,0,,,,,,,360,,,,
2026-06-05T06:43:45.045Z,BTCUSD,H1,11.591,,,,927,45045,H1,0,,,,,,,,,,,
2026-06-05T06:43:45.045Z,BTCUSD,M1,11.591,,,,927,45045,H1,0,,,,,,,90,,,,
2026-06-05T06:43:45.045Z,BTCUSD,M15,11.591,,,,927,45045,H1,0,,,,,,,990,,,,
2026-06-05T06:43:45.045Z,BTCUSD,M30,11.591,,,,927,45045,H1,0,,,,,,,1920,,,,
2026-06-05T06:43:45.045Z,BTCUSD,M5,11.591,,,,927,45045,H1,0,,,,,,,360,,,,
2026-06-05T06:43:50.049Z,BTCUSD,H1,10.476,,,,1489,50050,H1,0,,,,,,,,,,,
2026-06-05T06:43:50.049Z,BTCUSD,M1,10.476,,,,1489,50050,H1,0,,,,,,,90,,,,
2026-06-05T06:43:50.049Z,BTCUSD,M15,10.476,,,,1489,50050,H1,0,,,,,,,990,,,,
2026-06-05T06:43:50.049Z,BTCUSD,M30,10.476,,,,1489,50050,H1,0,,,,,,,1920,,,,
2026-06-05T06:43:50.049Z,BTCUSD,M5,10.476,,,,1489,50050,H1,0,,,,,,,360,,,,
2026-06-05T06:43:55.063Z,BTCUSD,H1,10.476,,,,1682,55063,H1,0,,,,,,,,,,,
2026-06-05T06:43:55.063Z,BTCUSD,M1,10.476,,,,1682,55063,H1,0,,,,,,,90,,,,
2026-06-05T06:43:55.063Z,BTCUSD,M15,10.476,,,,1682,55063,H1,0,,,,,,,990,,,,
2026-06-05T06:43:55.063Z,BTCUSD,M30,10.476,,,,1682,55063,H1,0,,,,,,,1920,,,,
2026-06-05T06:43:55.063Z,BTCUSD,M5,10.476,,,,1682,55063,H1,0,,,,,,,360,,,,
2026-06-05T06:44:00.063Z,BTCUSD,H1,10.767,,,,1941,60063,H1,0,,,,,,,,,,,
2026-06-05T06:44:00.063Z,BTCUSD,M1,10.767,,,,1941,60063,H1,0,,,,,,,90,,,,
2026-06-05T06:44:00.063Z,BTCUSD,M15,10.767,,,,1941,60063,H1,0,,,,,,,990,,,,
2026-06-05T06:44:00.063Z,BTCUSD,M30,10.767,,,,1941,60063,H1,0,,,,,,,1920,,,,
2026-06-05T06:44:00.063Z,BTCUSD,M5,10.767,,,,1941,60063,H1,0,,,,,,,360,,,,
2026-06-05T06:44:05.066Z,BTCUSD,H1,9.769,,,,2423,65066,H1,0,,,,,,,,false,,,
2026-06-05T06:44:05.066Z,BTCUSD,M1,9.769,,17.637,0.59,2423,65066,H1,0,,,2026-06-05T06:43:59.999Z,2026-06-05T06:44:00.000Z,5067,5066,90,false,,,
2026-06-05T06:44:05.066Z,BTCUSD,M15,9.769,,,,2423,65066,H1,0,,,,,,,990,false,,,
2026-06-05T06:44:05.066Z,BTCUSD,M30,9.769,,,,2423,65066,H1,0,,,,,,,1920,false,,,
2026-06-05T06:44:05.066Z,BTCUSD,M5,9.769,,,,2423,65066,H1,0,,,,,,,360,false,,,
2026-06-05T06:44:10.074Z,BTCUSD,H1,9.792,,,,2625,70074,H1,0,,,,,,,,false,,,
2026-06-05T06:44:10.074Z,BTCUSD,M1,9.792,,,,2625,70074,H1,0,,,2026-06-05T06:43:59.999Z,2026-06-05T06:44:00.000Z,10075,10074,90,false,,,
2026-06-05T06:44:10.074Z,BTCUSD,M15,9.792,,,,2625,70074,H1,0,,,,,,,990,false,,,
2026-06-05T06:44:10.074Z,BTCUSD,M30,9.792,,,,2625,70074,H1,0,,,,,,,1920,false,,,
2026-06-05T06:44:10.074Z,BTCUSD,M5,9.792,,,,2625,70074,H1,0,,,,,,,360,false,,,
2026-06-05T06:44:15.084Z,BTCUSD,H1,5.95,,,,3251,75084,H1,0,,,,,,,,false,,,
2026-06-05T06:44:15.084Z,BTCUSD,M1,5.95,,,,3251,75084,H1,0,,,2026-06-05T06:43:59.999Z,2026-06-05T06:44:00.000Z,15085,15084,90,false,,,
2026-06-05T06:44:15.084Z,BTCUSD,M15,5.95,,,,3251,75084,H1,0,,,,,,,990,false,,,
2026-06-05T06:44:15.084Z,BTCUSD,M30,5.95,,,,3251,75084,H1,0,,,,,,,1920,false,,,
2026-06-05T06:44:15.084Z,BTCUSD,M5,5.95,,,,3251,75084,H1,0,,,,,,,360,false,,,
2026-06-05T06:44:20.093Z,BTCUSD,H1,9.137,,,,4356,80093,H1,0,,,,,,,,false,,,
2026-06-05T06:44:20.093Z,BTCUSD,M1,9.137,,,,4356,80093,H1,0,,,2026-06-05T06:43:59.999Z,2026-06-05T06:44:00.000Z,20094,20093,90,false,,,
2026-06-05T06:44:20.093Z,BTCUSD,M15,9.137,,,,4356,80093,H1,0,,,,,,,990,false,,,
2026-06-05T06:44:20.093Z,BTCUSD,M30,9.137,,,,4356,80093,H1,0,,,,,,,1920,false,,,
2026-06-05T06:44:20.093Z,BTCUSD,M5,9.137,,,,4356,80093,H1,0,,,,,,,360,false,,,
2026-06-05T06:44:25.096Z,BTCUSD,H1,6.999,,,,5232,85097,H1,0,,,,,,,,false,,,
2026-06-05T06:44:25.096Z,BTCUSD,M1,6.999,,,,5232,85097,H1,0,,,2026-06-05T06:43:59.999Z,2026-06-05T06:44:00.000Z,25097,25096,90,false,,,
2026-06-05T06:44:25.096Z,BTCUSD,M15,6.999,,,,5232,85097,H1,0,,,,,,,990,false,,,
2026-06-05T06:44:25.096Z,BTCUSD,M30,6.999,,,,5232,85097,H1,0,,,,,,,1920,false,,,
2026-06-05T06:44:25.096Z,BTCUSD,M5,6.999,,,,5232,85097,H1,0,,,,,,,360,false,,,
2026-06-05T06:44:30.097Z,BTCUSD,H1,16.115,,,,5937,90097,H1,0,,,,,,,,false,,,
2026-06-05T06:44:30.097Z,BTCUSD,M1,16.115,,,,5937,90097,H1,0,,,2026-06-05T06:43:59.999Z,2026-06-05T06:44:00.000Z,30098,30097,90,false,,,
2026-06-05T06:44:30.097Z,BTCUSD,M15,16.115,,,,5937,90097,H1,0,,,,,,,990,false,,,
2026-06-05T06:44:30.097Z,BTCUSD,M30,16.115,,,,5937,90097,H1,0,,,,,,,1920,false,,,
2026-06-05T06:44:30.097Z,BTCUSD,M5,16.115,,,,5937,90097,H1,0,,,,,,,360,false,,,
2026-06-05T06:44:35.101Z,BTCUSD,H1,7.784,,,,6497,95101,H1,0,,,,,,,,false,,,
2026-06-05T06:44:35.101Z,BTCUSD,M1,7.784,,,,6497,95101,H1,0,,,2026-06-05T06:43:59.999Z,2026-06-05T06:44:00.000Z,35102,35101,90,false,,,
2026-06-05T06:44:35.101Z,BTCUSD,M15,7.784,,,,6497,95101,H1,0,,,,,,,990,false,,,
2026-06-05T06:44:35.101Z,BTCUSD,M30,7.784,,,,6497,95101,H1,0,,,,,,,1920,false,,,
2026-06-05T06:44:35.101Z,BTCUSD,M5,7.784,,,,6497,95101,H1,0,,,,,,,360,false,,,
2026-06-05T06:44:40.108Z,BTCUSD,H1,14.088,,,,7269,100108,H1,0,,,,,,,,false,,,
2026-06-05T06:44:40.108Z,BTCUSD,M1,14.088,,,,7269,100108,H1,0,,,2026-06-05T06:43:59.999Z,2026-06-05T06:44:00.000Z,40109,40108,90,false,,,
2026-06-05T06:44:40.108Z,BTCUSD,M15,14.088,,,,7269,100108,H1,0,,,,,,,990,false,,,
2026-06-05T06:44:40.108Z,BTCUSD,M30,14.088,,,,7269,100108,H1,0,,,,,,,1920,false,,,
2026-06-05T06:44:40.108Z,BTCUSD,M5,14.088,,,,7269,100108,H1,0,,,,,,,360,false,,,
2026-06-05T06:44:45.116Z,BTCUSD,H1,12.002,,,,7896,105116,H1,0,,,,,,,,false,,,
2026-06-05T06:44:45.116Z,BTCUSD,M1,12.002,,,,7896,105116,H1,0,,,2026-06-05T06:43:59.999Z,2026-06-05T06:44:00.000Z,45117,45116,90,false,,,
2026-06-05T06:44:45.116Z,BTCUSD,M15,12.002,,,,7896,105117,H1,0,,,,,,,990,false,,,
2026-06-05T06:44:45.116Z,BTCUSD,M30,12.002,,,,7896,105117,H1,0,,,,,,,1920,false,,,
2026-06-05T06:44:45.116Z,BTCUSD,M5,12.002,,,,7896,105117,H1,0,,,,,,,360,false,,,
2026-06-05T06:44:50.119Z,BTCUSD,H1,9.38,,,,8280,110120,H1,0,,,,,,,,false,,,
2026-06-05T06:44:50.119Z,BTCUSD,M1,9.38,,,,8280,110120,H1,0,,,2026-06-05T06:43:59.999Z,2026-06-05T06:44:00.000Z,50120,50119,90,false,,,
2026-06-05T06:44:50.119Z,BTCUSD,M15,9.38,,,,8280,110120,H1,0,,,,,,,990,false,,,
2026-06-05T06:44:50.119Z,BTCUSD,M30,9.38,,,,8280,110120,H1,0,,,,,,,1920,false,,,
2026-06-05T06:44:50.119Z,BTCUSD,M5,9.38,,,,8280,110120,H1,0,,,,,,,360,false,,,
2026-06-05T06:44:55.124Z,BTCUSD,H1,8.172,,,,8479,115124,H1,0,,,,,,,,false,,,
2026-06-05T06:44:55.124Z,BTCUSD,M1,8.172,,,,8479,115124,H1,0,,,2026-06-05T06:43:59.999Z,2026-06-05T06:44:00.000Z,55125,55124,90,false,,,
2026-06-05T06:44:55.124Z,BTCUSD,M15,8.172,,,,8479,115124,H1,0,,,,,,,990,false,,,
2026-06-05T06:44:55.124Z,BTCUSD,M30,8.172,,,,8479,115124,H1,0,,,,,,,1920,false,,,
2026-06-05T06:44:55.124Z,BTCUSD,M5,8.172,,,,8479,115124,H1,0,,,,,,,360,false,,,
2026-06-05T06:45:00.140Z,BTCUSD,H1,14.61,,,,8616,120140,H1,0,,,,,,,,false,,,
2026-06-05T06:45:00.140Z,BTCUSD,M1,14.61,,,,8616,120140,H1,0,,,2026-06-05T06:43:59.999Z,2026-06-05T06:44:00.000Z,60141,60140,90,false,,,
2026-06-05T06:45:00.140Z,BTCUSD,M15,14.61,,,,8616,120140,H1,0,,,,,,,990,false,,,
2026-06-05T06:45:00.140Z,BTCUSD,M30,14.61,,,,8616,120140,H1,0,,,,,,,1920,false,,,
2026-06-05T06:45:00.140Z,BTCUSD,M5,14.61,,,,8616,120140,H1,0,,,,,,,360,false,,,
2026-06-05T06:45:05.144Z,BTCUSD,H1,15.19,,,,9187,125144,H1,0,,,,,,,,false,false,false,
2026-06-05T06:45:05.144Z,BTCUSD,M1,15.19,,23.975,1.096,9187,125144,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,5145,5144,90,false,false,false,
2026-06-05T06:45:05.144Z,BTCUSD,M15,15.19,,55.623,0.428,9187,125144,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,5145,5144,990,false,false,false,
2026-06-05T06:45:05.144Z,BTCUSD,M30,15.19,,,,9187,125144,H1,0,,,,,,,1920,false,false,false,
2026-06-05T06:45:05.144Z,BTCUSD,M5,15.19,,36.694,0.845,9187,125144,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,5145,5144,360,false,false,false,
2026-06-05T06:45:10.154Z,BTCUSD,H1,13.021,,,,9733,130154,H1,0,,,,,,,,false,false,false,
2026-06-05T06:45:10.154Z,BTCUSD,M1,13.021,,,,9733,130154,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,10155,10154,90,false,false,false,
2026-06-05T06:45:10.154Z,BTCUSD,M15,13.021,,,,9733,130154,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,10155,10154,990,false,false,false,
2026-06-05T06:45:10.154Z,BTCUSD,M30,13.021,,,,9733,130154,H1,0,,,,,,,1920,false,false,false,
2026-06-05T06:45:10.154Z,BTCUSD,M5,13.021,,,,9733,130154,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,10155,10154,360,false,false,false,
2026-06-05T06:45:15.161Z,BTCUSD,H1,15.192,,,,10137,135161,H1,0,,,,,,,,false,false,false,
2026-06-05T06:45:15.161Z,BTCUSD,M1,15.192,,,,10137,135161,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,15162,15161,90,false,false,false,
2026-06-05T06:45:15.161Z,BTCUSD,M15,15.192,,,,10137,135161,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,15162,15161,990,false,false,false,
2026-06-05T06:45:15.161Z,BTCUSD,M30,15.192,,,,10137,135161,H1,0,,,,,,,1920,false,false,false,
2026-06-05T06:45:15.161Z,BTCUSD,M5,15.192,,,,10137,135161,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,15162,15161,360,false,false,false,
2026-06-05T06:45:20.164Z,BTCUSD,H1,9.091,,,,10459,140164,H1,0,,,,,,,,false,false,false,
2026-06-05T06:45:20.164Z,BTCUSD,M1,9.091,,,,10459,140164,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,20165,20164,90,false,false,false,
2026-06-05T06:45:20.164Z,BTCUSD,M15,9.091,,,,10459,140164,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,20165,20164,990,false,false,false,
2026-06-05T06:45:20.164Z,BTCUSD,M30,9.091,,,,10459,140164,H1,0,,,,,,,1920,false,false,false,
2026-06-05T06:45:20.164Z,BTCUSD,M5,9.091,,,,10459,140164,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,20165,20164,360,false,false,false,
2026-06-05T06:45:25.179Z,BTCUSD,H1,12.219,,,,10687,145179,H1,0,,,,,,,,false,false,false,
2026-06-05T06:45:25.179Z,BTCUSD,M1,12.219,,,,10687,145179,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,25180,25179,90,false,false,false,
2026-06-05T06:45:25.179Z,BTCUSD,M15,12.219,,,,10687,145179,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,25180,25179,990,false,false,false,
2026-06-05T06:45:25.179Z,BTCUSD,M30,12.219,,,,10687,145180,H1,0,,,,,,,1920,false,false,false,
2026-06-05T06:45:25.179Z,BTCUSD,M5,12.219,,,,10687,145180,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,25180,25179,360,false,false,false,
2026-06-05T06:45:30.186Z,BTCUSD,H1,15.403,,,,10873,150186,H1,0,,,,,,,,false,false,false,
2026-06-05T06:45:30.186Z,BTCUSD,M1,15.403,,,,10873,150186,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,30187,30186,90,false,false,false,
2026-06-05T06:45:30.186Z,BTCUSD,M15,15.403,,,,10873,150186,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,30187,30186,990,false,false,false,
2026-06-05T06:45:30.186Z,BTCUSD,M30,15.403,,,,10873,150186,H1,0,,,,,,,1920,false,false,false,
2026-06-05T06:45:30.186Z,BTCUSD,M5,15.403,,,,10873,150186,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,30187,30186,360,false,false,false,
2026-06-05T06:45:35.194Z,BTCUSD,H1,15.306,,,,11081,155194,H1,0,,,,,,,,false,false,false,
2026-06-05T06:45:35.194Z,BTCUSD,M1,15.306,,,,11081,155194,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,35195,35194,90,false,false,false,
2026-06-05T06:45:35.194Z,BTCUSD,M15,15.306,,,,11081,155194,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,35195,35194,990,false,false,false,
2026-06-05T06:45:35.194Z,BTCUSD,M30,15.306,,,,11081,155194,H1,0,,,,,,,1920,false,false,false,
2026-06-05T06:45:35.194Z,BTCUSD,M5,15.306,,,,11081,155194,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,35195,35194,360,false,false,false,
2026-06-05T06:45:40.195Z,BTCUSD,H1,7.974,,,,11312,160195,H1,0,,,,,,,,false,false,false,
2026-06-05T06:45:40.195Z,BTCUSD,M1,7.974,,,,11312,160195,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,40196,40195,90,false,false,false,
2026-06-05T06:45:40.195Z,BTCUSD,M15,7.974,,,,11312,160195,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,40196,40195,990,false,false,false,
2026-06-05T06:45:40.195Z,BTCUSD,M30,7.974,,,,11312,160195,H1,0,,,,,,,1920,false,false,false,
2026-06-05T06:45:40.195Z,BTCUSD,M5,7.974,,,,11312,160195,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,40196,40195,360,false,false,false,
2026-06-05T06:45:45.210Z,BTCUSD,H1,15.259,,,,11569,165210,H1,0,,,,,,,,false,false,false,
2026-06-05T06:45:45.210Z,BTCUSD,M1,15.259,,,,11569,165210,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,45211,45210,90,false,false,false,
2026-06-05T06:45:45.210Z,BTCUSD,M15,15.259,,,,11569,165210,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,45211,45210,990,false,false,false,
2026-06-05T06:45:45.210Z,BTCUSD,M30,15.259,,,,11569,165210,H1,0,,,,,,,1920,false,false,false,
2026-06-05T06:45:45.210Z,BTCUSD,M5,15.259,,,,11569,165210,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,45211,45210,360,false,false,false,
2026-06-05T06:45:50.214Z,BTCUSD,H1,8.129,,,,11784,170214,H1,0,,,,,,,,false,false,false,
2026-06-05T06:45:50.214Z,BTCUSD,M1,8.129,,,,11784,170214,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,50215,50214,90,false,false,false,
2026-06-05T06:45:50.214Z,BTCUSD,M15,8.129,,,,11784,170214,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,50215,50214,990,false,false,false,
2026-06-05T06:45:50.214Z,BTCUSD,M30,8.129,,,,11784,170214,H1,0,,,,,,,1920,false,false,false,
2026-06-05T06:45:50.214Z,BTCUSD,M5,8.129,,,,11784,170214,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,50215,50214,360,false,false,false,
2026-06-05T06:45:55.231Z,BTCUSD,H1,7.782,,,,12348,175231,H1,0,,,,,,,,false,false,false,
2026-06-05T06:45:55.231Z,BTCUSD,M1,7.782,,,,12348,175231,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,55232,55231,90,false,false,false,
2026-06-05T06:45:55.231Z,BTCUSD,M15,7.782,,,,12348,175231,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,55232,55231,990,false,false,false,
2026-06-05T06:45:55.231Z,BTCUSD,M30,7.782,,,,12348,175231,H1,0,,,,,,,1920,false,false,false,
2026-06-05T06:45:55.231Z,BTCUSD,M5,7.782,,,,12348,175231,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,55232,55231,360,false,false,false,
2026-06-05T06:46:00.236Z,BTCUSD,H1,11.022,,,,12646,180237,H1,0,,,,,,,,false,false,false,
2026-06-05T06:46:00.236Z,BTCUSD,M1,11.022,,,,12646,180237,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,60237,60236,90,false,false,false,
2026-06-05T06:46:00.236Z,BTCUSD,M15,11.022,,,,12646,180237,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,60237,60236,990,false,false,false,
2026-06-05T06:46:00.236Z,BTCUSD,M30,11.022,,,,12646,180237,H1,0,,,,,,,1920,false,false,false,
2026-06-05T06:46:00.236Z,BTCUSD,M5,11.022,,,,12646,180237,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,60237,60236,360,false,false,false,
2026-06-05T06:46:05.244Z,BTCUSD,H1,11.022,,,,13079,185244,H1,0,,,,,,,,false,false,false,
2026-06-05T06:46:05.244Z,BTCUSD,M1,11.022,,22.3,0.907,13079,185244,H1,0,,,2026-06-05T06:45:59.999Z,2026-06-05T06:46:00.000Z,5245,5244,90,false,false,false,
2026-06-05T06:46:05.244Z,BTCUSD,M15,11.022,,,,13079,185244,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,65245,65244,990,false,false,false,
2026-06-05T06:46:05.244Z,BTCUSD,M30,11.022,,,,13079,185244,H1,0,,,,,,,1920,false,false,false,
2026-06-05T06:46:05.244Z,BTCUSD,M5,11.022,,,,13079,185244,H1,0,,,2026-06-05T06:44:59.999Z,2026-06-05T06:45:00.000Z,65245,65244,360,false,false,false,
2026-06-05T06:46:10.248Z,BTCUSD,H1,15.716,,,,13431,190248,H1,0,,,,,,,,false,false,false,
